UTTARKASHI  EARTHQUAKE, OCT 20,1991 02:53 IST                      
      91.0011.T station: UTTARKASHI      30 44 N 78 27 E comp: N75E             
 INST.FREQ= 25.50Hz  DAMPING=0.65 Band-Pass FILTER 0.17-0.20 Hz & 25.0-27.0 Hz  
Initial Velocity =     -.6300E-02 m/s Initial Displacement =   -.1480      mm
Peak Acceleration =        3.0400    m/s/s at    5.900  sec
 1996 Acceleration data points (in m/s/s) at .020 sec
0.287E-01 0.309E-01 0.125E-01 -.181E-01 -.426E-01 -.499E-01 -.635E-01 -.729E-01
-.623E-01 -.536E-01 -.445E-01 -.368E-01 -.315E-01 -.274E-01 -.242E-01 -.226E-01
-.148E-01 -.417E-02 0.727E-02 0.295E-02 -.104E-01 -.468E-02 0.218E-01 0.600E-01
0.774E-01 0.364E-01 -.291E-01 -.940E-01 -.939E-01 -.331E-01 0.264E-01 0.571E-01
0.344E-01 -.225E-01 -.671E-01 -.736E-01 -.394E-01 0.846E-02 0.198E-01 -.754E-02
-.337E-01 -.502E-01 -.521E-01 -.469E-01 -.216E-01 -.144E-01 -.988E-02 -.982E-02
-.108E-01 0.526E-02 0.184E-01 0.264E-01 0.333E-01 0.347E-01 0.346E-01 0.308E-01
0.204E-01 0.447E-02 -.720E-02 -.564E-02 0.246E-01 0.459E-01 0.446E-01 0.380E-01
0.364E-01 0.373E-01 0.382E-01 0.424E-01 0.453E-01 0.261E-01 0.139E-03 -.209E-01
-.436E-01 -.204E-01 0.532E-01 0.433E-01 -.415E-01 -.996E-01 -.118E+00 -.577E-01
0.699E-01 0.111E+00 0.844E-01 0.252E-01 -.988E-02 -.897E-02 0.251E-01 0.768E-01
0.967E-01 0.408E-01 -.678E-02 -.486E-01 -.363E-01 0.179E-01 0.455E-01 0.406E-01
0.136E-01 -.227E-01 -.219E-01 0.545E-02 0.410E-01 0.606E-01 0.367E-01 -.341E-02
-.412E-01 -.709E-01 -.634E-01 -.299E-01 -.306E-03 -.149E-01 -.341E-01 -.384E-01
-.390E-01 -.314E-01 -.209E-01 -.583E-02 0.128E-03 -.804E-02 -.238E-01 -.144E-01
